feature,importance
age,2.205543004446554
bmi,0.8215500226550605
avg_glucose_level,0.4695121737600405
smoking_status,0.37811373982269475
ever_married,0.26413974159896997
gender,0.1908720719754479
work_type,0.18110007346201148
Residence_type,0.07676414128802146
heart_disease,0.06715668246290417
hypertension,0.0635635189825695
