feature,importance
ca,0.8631137702962329
thal,0.8156019625055357
cp,0.6071901900433274
slope,0.4772767901140257
thalach,0.3870458909971534
oldpeak,0.3698847500074733
age,0.31540707906837895
restecg,0.29171926336367854
sex,0.2865509512149844
chol,0.20325942095817717
exang,0.15094800174389147
trestbps,0.08845421678518302
