model,representation,auc,accuracy
Logistic Regression,onehot,0.6563091286675304,0.8064759036144579
Random Forest,onehot,0.7711904719643586,0.8403614457831325
Neural Net (MLP),onehot,0.7294875663394806,0.7914156626506024
CatBoost,onehot,0.7675358100072773,0.8335843373493976
Logistic Regression,kmer,0.6137151884129999,0.8004518072289156
Random Forest,kmer,0.7406148493938479,0.8335843373493976
Neural Net (MLP),kmer,0.6656223930137205,0.795933734939759
CatBoost,kmer,0.7007667867729281,0.8064759036144579
